ФИО,Год поступления,Форма обучения,Баллы ЦТ/ЦЭ,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Номер мобильного телефона,Математика,Физика,Русский язык,История
Ларионова Людмила Эльдаровна,2021,Заочная,"{'Математика': 76, 'Физика': 97, 'Русский язык': 60, 'История': 83}",5.84,374.4,Инженерия,"д. Гатчина, пер. Одесский, д. 817 к. 558, 137892",8 628 747 3566,76,97,60,83
Щербаков Андрей Александрович,2021,Заочная,"{'Математика': 87, 'Физика': 79, 'Русский язык': 73, 'История': 70}",6.64,375.4,Юриспруденция,"п. Чебаркуль, ш. Ленское, д. 7/1, 070143",8 (657) 905-23-29,87,79,73,70
Сергей Власович Гурьев,2021,Заочная,"{'Математика': 56, 'Физика': 51, 'Русский язык': 94, 'История': 59}",8.61,346.1,Медицина,"с. Кулунда, пр. Суворова, д. 7/9 к. 266, 205716",+71279500370,56,51,94,59
Носова Таисия Сергеевна,2021,Очная,"{'Математика': 83, 'Физика': 82, 'Русский язык': 50, 'История': 98}",8.26,395.6,Юриспруденция,"к. Листвянка (Иркут.), бул. Станционный, д. 88, 091434",+7 641 716 43 46,83,82,50,98
Акулина Болеславовна Боброва,2021,Очная,"{'Математика': 78, 'Физика': 54, 'Русский язык': 86, 'История': 96}",7.13,385.3,Юриспруденция,"к. Ямбург, бул. Путейский, д. 7/4 стр. 5/2, 612764",8 004 436 3993,78,54,86,96
Роман Фролович Ермаков,2022,Заочная,"{'Математика': 71, 'Физика': 55, 'Русский язык': 52, 'История': 55}",7.46,307.6,Медицина,"клх Катав-Ивановск, алл. Февральская, д. 218, 131250",8 267 956 48 11,71,55,52,55
Громов Ермолай Алексеевич,2022,Заочная,"{'Математика': 53, 'Физика': 87, 'Русский язык': 79, 'История': 87}",4.42,350.2,Юриспруденция,"клх Снежинск, пер. Строительный, д. 892, 407946",8 363 759 57 14,53,87,79,87
Медведев Автоном Антипович,2022,Очная,"{'Математика': 65, 'Физика': 91, 'Русский язык': 66, 'История': 96}",8.57,403.7,Юриспруденция,"с. Белогорск (Амур.), ш. М.Горького, д. 3 стр. 1/6, 505150",+7 (743) 708-45-72,65,91,66,96
Ильин Савелий Гурьевич,2022,Очная,"{'Математика': 53, 'Физика': 52, 'Русский язык': 50, 'История': 71}",4.76,273.6,Информатика,"к. Калязин, пр. Кедровый, д. 2 стр. 6, 602750",+7 523 798 5878,53,52,50,71
Анисимова Антонина Тимуровна,2022,Заочная,"{'Математика': 57, 'Физика': 80, 'Русский язык': 68, 'История': 91}",9.0,386.0,Экономика,"г. Поярково, пр. Менделеева, д. 13 к. 2/7, 814738",8 (433) 071-4751,57,80,68,91
Софрон Бориславович Беляков,2023,Заочная,"{'Математика': 88, 'Физика': 73, 'Русский язык': 51, 'История': 50}",8.93,351.3,Инженерия,"г. Кизляр, пр. Республиканский, д. 9 к. 9, 230270",8 383 666 8124,88,73,51,50
